,추정EPS(2023),EPS(3년 평균),EV/EVIBTA
009470,,1076.0,
011230,,-267.6666666666667,
001820,2487.0,2610.0,6.26
000390,,100.33333333333333,
001290,,8.666666666666666,
041650,,173.66666666666666,
075180,,206.0,
007540,,4847.333333333333,
248170,,6316.0,
007860,,-591.3333333333334,
200880,5550.0,-758.3333333333334,2.37
017390,,11233.333333333334,
004410,,-9.666666666666666,
004415,,-9.666666666666666,
021050,,102.33333333333333,
008490,1150.0,3988.0,7.65
007610,,-357.0,
136490,,1920.0,
014910,,1.6666666666666667,
014915,,1.6666666666666667,
003080,,-124.66666666666667,
004980,1544.0,449.6666666666667,6.77
004985,1544.0,449.6666666666667,6.77
011300,,-151.33333333333334,
000180,,1.3333333333333333,
002420,,-342.6666666666667,
004360,,1329.6666666666667,
004365,,1329.6666666666667,
004490,,5450.666666666667,
001430,4543.0,-398.0,4.54
306200,63260.0,17547.0,0.96
003030,84507.0,15289.333333333334,1.48
019440,,1271.0,
058650,,-6828.666666666667,
013000,,13.0,
091090,,-463.0,
021820,,702.6666666666666,
067830,,321.3333333333333,
033530,,-263.0,
075580,326.0,121.0,14.51
068270,4753.0,3196.0,22.17
336370,611.0,151.33333333333334,-6796.12
33637K,611.0,151.33333333333334,-6796.12
33637L,611.0,151.33333333333334,-6796.12
248070,2536.0,756.0,7.95
004430,2021.0,1867.6666666666667,4.92
126720,2968.0,3641.6666666666665,-0.51
017550,,96.33333333333333,
053210,718.0,1198.6666666666667,1.59
026890,,705.6666666666666,
134790,,6349.0,
016590,,1260.3333333333333,
029530,,3191.3333333333335,
004970,,1302.3333333333333,
011930,121.0,-47.0,18.44
005390,,245.0,
004170,30400.0,24708.333333333332,4.17
035510,,2173.3333333333335,
034300,,4658.666666666667,
031430,1572.0,1932.6666666666667,6.35
031440,3503.0,-1309.6666666666667,6.1
006880,,-682.3333333333334,
005800,,455.0,
001720,,6074.666666666667,
001725,,6074.666666666667,
009270,,21.666666666666668,
002700,,95.33333333333333,
002870,,406.0,
019170,,-7.666666666666667,
019175,,-7.666666666666667,
404990,,68.33333333333333,
293940,,58.666666666666664,
055550,8939.0,7090.333333333333,
004080,,925.6666666666666,
102280,,-132.33333333333334,
003410,365.0,300.6666666666667,7.95
004770,,106.33333333333333,
403550,-1240.0,-1885.6666666666667,8.78
004920,,-202.66666666666666,
112610,1516.0,1106.6666666666667,12.15
308170,,585.6666666666666,
008700,,82.33333333333333,
002790,1302.0,1160.3333333333333,2.29
00279K,1302.0,1160.3333333333333,2.29
002795,1302.0,1160.3333333333333,2.29
090430,2544.0,2258.3333333333335,18.46
090435,2544.0,2258.3333333333335,18.46
002030,,29691.666666666668,
183190,2036.0,1250.0,
002310,9920.0,7692.333333333333,1.43
012170,,-4807.333333333333,
267850,,304.3333333333333,
020560,-726.0,-7040.333333333333,
122900,419.0,726.3333333333334,2.54
010780,6654.0,3186.3333333333335,4.67
139990,-469.0,819.3333333333334,19.35
001780,,-79.33333333333333,
018250,1836.0,870.0,4.15
161000,637.0,1521.0,10.58
011090,,-14.0,
137310,-3072.0,5906.666666666667,-17.06
118000,,55.666666666666664,
005850,6770.0,1761.3333333333333,2.45
010580,,-825.3333333333334,
012750,4291.0,3664.3333333333335,4.4
023960,,-228.33333333333334,
298690,521.0,-4021.6666666666665,2.29
140910,,1295.0,
078520,,-1761.3333333333333,
015260,,-977.3333333333334,
007460,,-839.3333333333334,
003060,,4.0,
244920,502.0,707.0,
450080,374.0,307.3333333333333,
036570,9472.0,20384.666666666668,17.62
380440,,23.0,
085310,,-64.33333333333333,
900140,,-317.3333333333333,
097520,1564.0,3048.3333333333335,6.81
014440,,191.0,
111770,12147.0,4604.0,1.19
009970,27722.0,10917.333333333334,
003520,,-12.0,
000670,,88639.33333333333,
006740,,156.0,
012280,,-177.0,
012160,,-55.0,
015360,,-1464.0,
007310,39922.0,30465.0,
002630,,10.333333333333334,
271560,9219.0,6246.333333333333,5.3
001800,,1127.3333333333333,
011690,91.0,-3814.0,
070960,-42.0,-157.33333333333334,11.03
316140,3909.0,2719.3333333333335,
006980,,1282.0,
017370,725.0,-406.6666666666667,7.08
105840,546.0,228.0,7.56
010400,,29.666666666666668,
049800,,278.0,
016880,,-764.0,
095720,89.0,-320.0,4.09
005820,,2955.0,
010600,,-755.0,
008600,,-298.3333333333333,
033270,,1770.0,
014830,1792.0,12263.666666666666,8.44
446070,,,
000910,,160.0,
047400,,12.0,
011330,,148.33333333333334,
077500,,1367.3333333333333,
002920,,244.0,
000700,,1383.3333333333333,
003470,,528.0,
003475,,528.0,
072130,,230.0,
000220,,94.66666666666667,
000225,,94.66666666666667,
000227,,94.66666666666667,
001200,,713.6666666666666,
000100,1120.0,1436.3333333333333,38.16
000105,1120.0,1436.3333333333333,38.16
003460,,94.33333333333333,
003465,,94.33333333333333,
008730,,629.6666666666666,
008250,,430.0,
025820,,195.66666666666666,
214320,2534.0,1691.6666666666667,1.15
088260,,144.0,
139480,-587.0,25906.0,6.82
457190,,,
007660,812.0,-765.6666666666666,22.24
005950,,-388.0,
015020,,96.66666666666667,
093230,,-102.66666666666667,
074610,,-617.3333333333334,
102460,,272.3333333333333,
084680,,-37.0,
350520,,1257.6666666666667,
334890,,804.0,
000760,,4750.333333333333,
014990,,-242.33333333333334,
101140,,-334.0,
006490,,-39.666666666666664,
023800,,-175.33333333333334,
034590,,1966.6666666666667,
129260,,-79.33333333333333,
023810,,8.666666666666666,
249420,,-1767.0,
000230,,-3250.3333333333335,
013360,,64.0,
003120,,214.66666666666666,
003200,,1110.3333333333333,
007110,,6.333333333333333,
007570,,601.3333333333334,
007575,,601.3333333333334,
008500,,-7339.333333333333,
081000,,629.3333333333334,
020760,,-962.0,
103590,,210.0,
271940,97.0,402.6666666666667,18151.53
015860,446.0,289.0,0.46
226320,,-552.6666666666666,
317400,1000.0,793.6666666666666,-0.13
033240,-1294.0,277.6666666666667,-80.3
000950,,-6784.333333333333,
348950,,90.33333333333333,
194370,4570.0,1470.3333333333333,2.54
025620,,-22527.666666666668,
030000,1864.0,1335.3333333333333,4.74
271980,,-358.0,
001560,,524.6666666666666,
002620,,-1722.3333333333333,
006220,,662.6666666666666,
089590,1492.0,-4625.666666666667,3.75
004910,,-579.3333333333334,
004700,,2274.0,
001550,,303.6666666666667,
462520,,,
120030,,9687.333333333334,
018470,,-335.3333333333333,
002600,,17465.333333333332,
185750,14485.0,4992.333333333333,6.19
063160,,723.0,
001630,6986.0,9294.666666666666,
044380,,-22.666666666666668,
013890,1254.0,3143.6666666666665,10.96
013870,,74.0,
071320,-14020.0,685.6666666666666,26.51
088790,,-26.0,
003780,,465.6666666666667,
010640,,432.0,
100250,,305.3333333333333,
051630,,-89.0,
272450,2153.0,-3228.6666666666665,2.24
011000,,-240.33333333333334,
002780,,214.0,
002787,,214.0,
002785,,214.0,
009310,,-112.0,
000650,,-1541.0,
012600,,-1272.3333333333333,
033250,,-128.33333333333334,
035720,588.0,923.3333333333334,17.54
323410,729.0,275.6666666666667,
377300,-35.0,-361.0,232.04
006380,,-1185.3333333333333,
109070,,-1943.3333333333333,
001620,,-163.33333333333334,
029460,,3659.6666666666665,
281820,1387.0,2000.6666666666667,7.12
381970,717.0,658.3333333333334,6.05
145270,,194.66666666666666,
417310,,61.666666666666664,
357120,,197.66666666666666,
007815,-566.0,833.6666666666666,20.57
007810,-566.0,833.6666666666666,20.57
00781K,-566.0,833.6666666666666,20.57
003690,,975.6666666666666,
192820,6814.0,4020.3333333333335,9.5
044820,,281.3333333333333,
005070,699.0,304.3333333333333,96.35
005420,,-343.6666666666667,
071950,,-52.333333333333336,
002020,,5919.0,
003070,2065.0,3361.6666666666665,10.01
003075,2065.0,3361.6666666666665,10.01
450140,,,
45014K,,,
002025,,5919.0,
120110,2589.0,4755.666666666667,7.86
120115,2589.0,4755.666666666667,7.86
138490,687.0,264.6666666666667,5.04
021240,6706.0,5435.666666666667,3.51
036420,-3304.0,-3804.0,10.4
031820,,11.0,
192400,,2957.6666666666665,
284740,,3764.0,
264900,,1209.3333333333333,
26490K,,1209.3333333333333,
005740,,142.66666666666666,
005745,,142.66666666666666,
259960,13658.0,10783.333333333334,10.13
020120,,94.33333333333333,
039490,16268.0,24927.0,
014580,,217.66666666666666,
015890,,483.6666666666667,
006890,1560.0,818.3333333333334,5.38
003240,,181336.0,
011280,,181.66666666666666,
004100,,-372.3333333333333,
004105,,-372.3333333333333,
009410,2219.0,3817.6666666666665,11.31
009415,2219.0,3817.6666666666665,11.31
001420,,26.0,
007980,,-104.33333333333333,
055490,,2852.3333333333335,
078000,,273.3333333333333,
214420,,-873.6666666666666,
019180,,337.6666666666667,
363280,,14962.0,
36328K,,14962.0,
091810,408.0,-1083.3333333333333,2.22
004870,,-732.0,
005690,,106.0,
036580,,65.66666666666667,
004720,,966.3333333333334,
028670,609.0,495.0,4.86
010820,,2.3333333333333335,
016800,,3278.6666666666665,
001020,,-241.66666666666666,
090080,,-96.66666666666667,
010770,,-751.3333333333334,
058430,4500.0,6190.666666666667,5.77
047050,4420.0,2185.0,7.31
003670,1696.0,1271.0,89.11
017810,559.0,262.0,7.09
103140,5948.0,3958.6666666666665,5.19
005810,6916.0,6607.666666666667,4.14
950210,,-1332.3333333333333,
009810,,-71.33333333333333,
086790,12573.0,9498.0,
293480,1328.0,1335.6666666666667,6.7
039130,2481.0,-5275.333333333333,14.47
352820,7143.0,2997.0,20.13
071090,,171.66666666666666,
019490,,-3329.3333333333335,
000080,621.0,543.0,8.26
000087,621.0,543.0,8.26
000140,,1065.6666666666667,
000145,,1065.6666666666667,
152550,,,
036460,2330.0,2951.6666666666665,12.8
005430,,-2942.0,
071050,14105.0,18798.333333333332,
071055,14105.0,18798.333333333332,
010040,,136.66666666666666,
025540,6855.0,4884.333333333333,4.16
010100,,454.6666666666667,
004090,985.0,269.6666666666667,9.65
002200,,352.0,
002960,,18226.333333333332,
000240,2202.0,1750.3333333333333,
123890,1210.0,877.3333333333334,
015760,-9523.0,-2938.3333333333335,19.6
006200,,37.0,
027970,,261.6666666666667,
023350,,494.3333333333333,
025890,,-492.6666666666667,
000970,,1468.0,
104700,1910.0,780.6666666666666,-2.03
017960,408.0,678.0,14.87
161890,2973.0,3284.3333333333335,8.15
024720,,1565.3333333333333,
161390,6322.0,3713.6666666666665,3.18
034830,,438.6666666666667,
007280,,40.333333333333336,
168490,,,
047810,2088.0,1056.6666666666667,11.28
123690,,-665.6666666666666,
003350,,-493.3333333333333,
011500,,909.3333333333334,
002390,,1578.6666666666667,
053690,2464.0,1404.0,5.47
042700,1987.0,566.0,151.94
008930,,458.6666666666667,
128940,10647.0,3478.3333333333335,13.93
009240,-704.0,2319.0,19.66
020000,3334.0,3856.0,1.87
003680,,-1237.3333333333333,
105630,2831.0,851.6666666666666,5.37
069640,,-2524.3333333333335,
016450,,956.6666666666666,
010420,,155.66666666666666,
009180,,462.0,
213500,756.0,1582.0,6.63
014680,9083.0,10536.0,13.07
004710,,253.0,
004150,619.0,892.0,1.21
025750,,6.0,
004960,950.0,6516.0,18.76
011700,,94.33333333333333,
001750,,3710.3333333333335,
001755,,3710.3333333333335,
018880,304.0,460.6666666666667,7.66
009420,157.0,305.0,151.19
014130,,164.33333333333334,
300720,,1302.3333333333333,
002220,,91.0,
006390,,2833.3333333333335,
003300,,1144.6666666666667,
051600,3058.0,2511.6666666666665,6.27
052690,1017.0,549.3333333333334,37.39
130660,,400.0,
002320,1851.0,3648.0,7.76
003480,,225.0,
180640,4116.0,-2770.6666666666665,53.94
18064K,4116.0,-2770.6666666666665,53.94
005110,,-1237.6666666666667,
009460,,184.33333333333334,
372910,,588.3333333333334,
000880,9871.0,4290.333333333333,3.13
00088K,9871.0,4290.333333333333,3.13
452260,,,
45226K,,,
451800,,0.0,
088350,1151.0,573.6666666666666,
000370,,334.3333333333333,
009830,1226.0,1246.6666666666667,7.85
009835,1226.0,1246.6666666666667,7.85
272210,1749.0,672.6666666666666,11.91
012450,17815.0,3310.6666666666665,7.92
042660,-433.0,-4362.333333333333,238.47
000885,9871.0,4290.333333333333,3.13
003530,,489.3333333333333,
003535,,489.3333333333333,
195870,5280.0,2344.6666666666665,5.44
101530,,-87.33333333333333,
143210,,-924.0,
000720,5222.0,2800.3333333333335,0.81
000725,5222.0,2800.3333333333335,0.81
453340,1713.0,,3.15
086280,29883.0,16812.333333333332,2.99
064350,1327.0,-1078.0,13.77
079430,-97.0,966.6666666666666,
012330,37825.0,21589.0,5.12
010620,-583.0,-1051.0,-207.25
069960,7684.0,6464.333333333333,4.51
004560,,2527.6666666666665,
004310,,2.3333333333333335,
017800,,2109.6666666666665,
307950,5461.0,2728.0,12.9
011210,3562.0,2188.0,3.99
004020,5912.0,2619.0,5.18
005440,9869.0,578.0,10.62
005380,45353.0,11250.0,6.42
005387,45353.0,11250.0,6.42
005389,45353.0,11250.0,6.42
005385,45353.0,11250.0,6.42
001500,,2511.6666666666665,
011760,6716.0,2606.6666666666665,5.63
227840,,1482.6666666666667,
126560,,300.0,
001450,12669.0,3854.0,
057050,14083.0,8265.0,5.79
093240,,66.66666666666667,
003010,,402.3333333333333,
111110,,-114.0,
008770,3521.0,-721.6666666666666,12.34
008775,3521.0,-721.6666666666666,12.34
002460,3488.0,1894.0,5.91
378850,,525.0,
241590,-89.0,528.3333333333334,9.27
006060,,567.6666666666666,
013520,,-347.6666666666667,
010690,2703.0,-221.66666666666666,3.71
133820,,-233.0,
010660,,-80.33333333333333,
000850,,3224.6666666666665,
016580,1398.0,1231.6666666666667,6.45
032560,,1289.6666666666667,
004800,1076.0,7700.0,12.41
094280,,1018.3333333333334,
298040,16644.0,1735.0,7.53
298050,18061.0,13452.0,8.22
298020,23994.0,77042.66666666667,6.16
298000,-85776.0,14066.666666666666,26.82
093370,-220.0,146.33333333333334,48.69
081660,2141.0,3507.6666666666665,6.32
005870,,645.0,
079980,,826.6666666666666,
005010,,268.0,
000540,,630.3333333333334,
000545,,630.3333333333334,
003280,,-1437.6666666666667,
